[2026-07-09T09:55:23.675Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (23ms, 16724B)
[2026-07-09T09:55:23.698Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (?ms, 392478B)
[2026-07-09T09:55:29.536Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22777B)
[2026-07-09T09:55:29.541Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 13850B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (1ms, 31280B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (1ms, 320B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (2ms, 417B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (3ms, 436B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (3ms, 298B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (4ms, 16680B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (4ms, 23770B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (5ms, 1885B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:55:29.541Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (6ms, 1488B)
[2026-07-09T09:55:29.552Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (1ms, 37956B)
[2026-07-09T09:55:29.552Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (2ms, 16724B)
[2026-07-09T09:55:29.579Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (1ms, 392478B)
[2026-07-09T09:56:23.012Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22777B)
[2026-07-09T09:56:23.018Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (1ms, 13850B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (?ms, 31280B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (?ms, 320B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (2ms, 417B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (3ms, 436B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (3ms, 298B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (4ms, 16680B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (4ms, 23770B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (4ms, 1885B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:56:23.018Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (6ms, 1488B)
[2026-07-09T09:56:23.027Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (1ms, 37956B)
[2026-07-09T09:56:23.027Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (2ms, 16724B)
[2026-07-09T09:56:23.028Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (1ms, 392478B)
[2026-07-09T09:56:26.996Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22777B)
[2026-07-09T09:56:27.001Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (2ms, 13850B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (1ms, 31280B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (1ms, 320B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (2ms, 417B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-3.svg → 200 (2ms, 436B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-4.svg → 200 (3ms, 298B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/binance.png → 200 (3ms, 16680B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/xapo.png → 200 (3ms, 23770B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/primexm.png → 200 (4ms, 17233B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/hsbc.svg → 200 (4ms, 1885B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/onezero.svg → pending (?ms, ?B)
[2026-07-09T09:56:27.001Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/wise.svg → 200 (5ms, 1488B)
[2026-07-09T09:56:27.014Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459Wlhyw.woff2 → 200 (1ms, 37956B)
[2026-07-09T09:56:27.014Z] GET https://fonts.gstatic.com/s/spacemono/v17/i7dMIFZifjKcF5UAWdDRaPpZUFWaHg.woff2 → 200 (1ms, 16724B)
[2026-07-09T09:56:27.037Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/dollar-bill.jpg → 200 (1ms, 392478B)
[2026-07-09T09:56:31.033Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/index.html → 200 (1ms, 22777B)
[2026-07-09T09:56:31.038Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800;900&family=Space+Mono:wght@400;700&display=swap → 200 (3ms, 13850B)
[2026-07-09T09:56:31.038Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/logos/steelhatch.png → 200 (1ms, 31280B)
[2026-07-09T09:56:31.039Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-1.svg → 200 (?ms, 320B)
[2026-07-09T09:56:31.039Z] GET file:///C:/Users/Admin/Desktop/dev/steelhatch/assets/stat-shape-2.svg → 200 (1ms, 417B)
